2023-07-25 16:44:28.032 [restartedMain] INFO  com.demo.records.RecordsApplication - Starting RecordsApplication on HITERHUANG-MB0 with PID 53557 (/Users/huangjiayan/Tencent/MyProjects/Records_backend/target/classes started by huangjiayan in /Users/huangjiayan/Tencent/MyProjects/Records_backend)
2023-07-25 16:44:28.035 [restartedMain] INFO  com.demo.records.RecordsApplication - No active profile set, falling back to default profiles: default
2023-07-25 16:44:28.081 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-07-25 16:44:28.081 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-07-25 16:44:28.689 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-07-25 16:44:28.691 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-07-25 16:44:28.718 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13ms. Found 0 Redis repository interfaces.
2023-07-25 16:44:29.009 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.demo.records.config.RedisConfig$$EnhancerBySpringCGLIB$$6a2eeb03] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-07-25 16:44:29.362 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-25 16:44:29.371 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-07-25 16:44:29.372 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-07-25 16:44:29.372 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2023-07-25 16:44:29.438 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-07-25 16:44:29.439 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1357 ms
2023-07-25 16:44:30.268 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2023-07-25 16:44:30.362 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2023-07-25 16:44:30.699 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-07-25 16:44:30.716 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-07-25 16:44:30.745 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-07-25 16:44:30.756 [restartedMain] INFO  com.demo.records.RecordsApplication - Started RecordsApplication in 3.194 seconds (JVM running for 3.927)
2023-07-25 16:44:34.720 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
